Make,Depreciation Score
Norton,-2127.9663099535865
Zero,-1764.5551637567053
Ducati,-1169.858165970046
Harley-Davidson,-684.9554601932965
CCM,-475.78888888888997
BSA,-411.76129032258103
Peugeot,-395.0000000000007
NIU,-376.0000000000001
Zontes,-326.9999999999998
UM,-299.99999999999966
Yamasaki,-151.99999999999977
Piaggio,13.522136777932673
Honda,17.945026962074117
Triumph,27.44956462293509
Lambretta,100.28571428571388
Kymco,132.00000000000003
Yamaha,295.1513612358193
Aprilia,313.05606405157306
Sinnis,413.88888888888886
KTM,465.7362403938282
Kawasaki,512.3457517722485
Suzuki,550.0270998914182
Royal,674.3043401144314
Benelli,682.0640087437708
Lexmoto,749.655262222465
SYM,834.9858258118061
AJS,869.0
Sym,950.0357142857139
Keeway,1079.129452357803
Gas,1415.9999999999995
Mutt,1502.2233044733043
Herald,1544.9999999999995
MV,1548.8097079879199
Neco,1629.666666666666
MGB,1698.9999999999995
FB,1808.4999999999993
BMW,1838.3861000020731
Torrot,1888.9999999999993
Tromox,1899.0
Vespa,1974.9999999999993
Moto,2080.3168539446024
Bluroc,2295.0
CFMOTO,2381.0691666666667
Indian,2769.627550568485
Zeeho,3198.999999999999
Husqvarna,3545.371753678962
Voge,4792.166666666665
TRS,4994.999999999998
Fantic,5498.999999999998
Can-Am,24949.999999999993
