Make,Model,Depreciation Score,R-squared
Ducati,Streetfighter V4,-12484.392000000003,0.5592378938959267
Zero,S,-5188.000000000005,1.0
BMW,R 18 Roctane,-4756.250000000001,0.9603334164674543
Norton,V4 SV,-4220.571428571433,0.1603647078755014
BMW,M 1000 RR,-3583.9655172413827,0.6604803106144133
Suzuki,GSX-S1000GT,-2341.228813559321,0.8841167558195224
Ducati,Multistrada V4,-2315.098309926206,0.46090061054559417
Ducati,Panigale V4S,-2208.9420068676063,0.3297270847436141
Honda,EM1 e:,-1832.4000000000003,0.7445040546182098
Husqvarna,FE 350,-1824.666666666666,0.9745901294369862
Ducati,Diavel V4,-1703.000000000001,0.13818120527322286
Triumph,Thruxton 1200 RS,-1569.999999999998,1.0
Zero,SR/S,-1560.8845144356949,0.6619916029167583
BMW,R 1250 RT,-1557.5175006213237,0.7870055129258224
Zero,DS,-1416.666666666667,1.0
Suzuki,GSX-S1000GT+,-1400.0514354066986,0.6884103884500407
Suzuki,V-Strom 1050DE,-1398.000000000002,0.8044085979018907
MV,Agusta F3 800,-1379.183673469388,0.7610719713648966
Kawasaki,Ninja ZX-10RR,-1363.8298969072177,0.6935173659682508
BMW,R 18,-1349.6142857142859,0.3242886828584911
Honda,CBR1000RR-R Fireblade,-1301.7516778523482,0.5289543316935725
Indian,Springfield,-1300.7999999999988,1.0
Ducati,Streetfighter V4S,-1297.2301829268313,0.5385201857536259
BMW,CE 04,-1287.1259842519673,0.42529663430883324
Ducati,Supersport 950 S,-1286.2962962962931,0.8894060085242905
Ducati,Multistrada V2,-1264.1333333333337,0.6198077108313165
BMW,R 18 B,-1238.7368421052615,0.13499110609734188
Honda,NT1100,-1209.08291093411,0.42567705505747744
Harley-Davidson,CVO,-1200.8512645523888,0.7003734687437182
Ducati,Panigale V4,-1152.2005988023948,0.4243257861544927
Honda,GL1800 Gold Wing,-1117.3720636524363,0.7091880414981464
BMW,S 1000 XR,-1115.5028434888916,0.8362528268148087
Ducati,Streetfighter V2,-1098.3617021276605,0.7009808617854195
Ducati,Monster 937,-1090.092485549134,0.558983868525968
Harley-Davidson,Street Glide,-1089.8903426204813,0.5868683655714708
BMW,K 1600 GTL,-1066.881720143078,0.8465938047579161
BMW,R 1250 R,-1063.5403394559398,0.6649456469467463
BMW,R 1250 RS,-1039.2319996727213,0.8350388380851049
Harley-Davidson,Pan America,-1033.143160127253,0.22252348860332416
Ducati,DesertX,-1019.7313432835839,0.4309403435653689
Piaggio,MP3 400,-1011.7500000000019,0.6224789884666886
Ducati,Supersport S,-1011.6564121571536,0.846192494338823
Kawasaki,Z H2,-1002.4246031746044,0.660567597080173
Indian,FTR Sport,-999.9999999999987,1.0
KTM,1290 Super Adventure R,-994.1172787979971,0.7878781095406174
BMW,K 1600 GT,-989.2398644008546,0.8778353624694336
Yamaha,TMAX 560,-986.734604105574,0.7666367448020823
Suzuki,GSX-S1000T,-980.714285714286,0.5123595836847776
MV,Agusta Brutale 1000,-955.6025056947606,0.7718545677728681
BMW,R 1250 GS Adventure,-953.8461598592929,0.695272412185203
Triumph,Tiger 1200,-951.4790914890636,0.6801276102003424
Ducati,Panigale V2,-942.6666666666671,0.6355550283524586
Triumph,Tiger 900,-936.0535499879941,0.5026683552561221
BMW,M 1000 R,-918.230769230775,0.04423923430534893
BMW,K 1600 B,-887.218032076289,0.8799703064200965
MV,Agusta Dragster,-884.6755952380948,0.9060107242418108
Aprilia,RS 660,-879.2516198704104,0.2904279756043572
Triumph,Speed Triple 1200,-875.5138461538459,0.5409558345812184
BMW,S 1000 R,-840.2773015099859,0.7851518183911134
MV,Agusta Turismo Veloce,-831.4896856581536,0.8599632867715168
KTM,890 Adventure,-831.1577181208052,0.45721083065510026
Yamaha,Tricity 300,-824.0887096774193,0.6379448256324982
Yamaha,Tracer 7,-814.2234636871511,0.7509613607625296
Honda,CRF1100L Africa Twin Adventure Sports,-810.4799054373534,0.24247782968934628
Lexmoto,LXR125,-809.0000000000007,1.0
KTM,1290 Super Adventure S,-802.6212059785406,0.7765168182105016
Vespa,GTS 300,-799.9999999999997,0.9951409135082604
Honda,CRF1000L Africa Twin,-796.6163167644347,0.6807362723238344
Suzuki,V-Strom 800,-794.6750000000023,0.5081862771986082
Triumph,Rocket III,-793.5387738244556,0.6879174269733977
CCM,Street Moto,-793.1666666666667,0.7595350484329972
BMW,S 1000 RR,-782.652204942163,0.7506940100137733
Moto,Guzzi V100 Mandello,-779.1333333333308,0.16199782889935255
Honda,CRF1100L Africa Twin,-774.174958193978,0.38180543401475164
KTM,1290 Super Duke GT,-770.0296163784537,0.6325742263821879
BMW,R 18 Classic,-742.71186440678,0.7031215634143042
Yamaha,TRACER 7,-739.9108910891098,0.6533976570850037
Triumph,Tiger Sport 660,-730.7945552925254,0.6801838236991833
Honda,CMX1100T Rebel,-730.1666666666657,0.933724051222116
Ducati,Hypermotard 950,-722.6179775280904,0.42769227652740616
Aprilia,Tuono 1100 V4,-702.5065982014578,0.8540285118746533
Ducati,Scrambler 1100,-700.7395209580837,0.6764508760399912
Honda,XL750 Transalp,-697.4423076923097,0.07328105923775852
BMW,F 900 XR,-696.9888697763839,0.6413523312497267
Royal,Enfield Super Meteor 650,-696.0504201680666,0.36161261755408247
BMW,F 900 R,-694.4791666666673,0.42233813037184964
Harley-Davidson,Touring,-691.4768009925814,0.6650868651218926
KTM,1290 Super Duke R,-685.4516460905359,0.8086172336032461
Kawasaki,Ninja H2,-680.6359149054505,0.09331087284256478
Honda,CMX1100 Rebel,-675.0963377653363,0.6246740451915151
Aprilia,Tuareg 660,-671.8787499999992,0.5052918680005957
Indian,Sport Chief,-667.999999999997,0.030479748109564886
Triumph,Speedmaster 1200,-661.0567140908204,0.743454626532648
Triumph,Speed Twin 1200,-658.5849056603782,0.20249620410893354
Yamaha,Tracer 9 GT,-657.9707941772621,0.41177593035201476
Honda,CBR1000RR Fireblade,-644.5416783482568,0.6647809267584104
BMW,F 850 GS,-639.7898745519722,0.7177212229765811
Royal,Enfield Hunter 350,-638.0327868852448,0.7264562502544787
Kawasaki,Ninja ZX-10R,-633.9502282046009,0.7626789372052454
Triumph,Scrambler 400 X,-627.1250000000013,0.2472970652689339
Suzuki,GSX-8S,-619.0277777777784,0.22762778389623928
Yamaha,WR250F,-617.3333333333329,0.7289578204273726
Yamaha,XSR900,-611.8456487131867,0.565942104856613
Yamaha,Tenere 700,-606.0776101016336,0.5480470519285388
Kawasaki,Ninja 1000SX,-605.1747326955542,0.6799447343908356
Aprilia,RSV4,-604.2075993091537,0.8628234201432283
Suzuki,V-Strom 800RE,-600.0000000000009,0.9230769230769231
Indian,Scout Bobber Twenty,-598.4339622641523,0.7597101791049617
BMW,R nineT Pure,-592.5768374164813,0.646600936574937
Kawasaki,Versys 1000,-576.9865883624652,0.7232805596200025
BMW,R 1300 GS,-570.8787878787884,0.019031397706549047
Yamaha,R1,-556.8281020509761,0.29537666914037164
Moto,Guzzi V85,-553.9484358886219,0.7041628632073487
Triumph,Street Triple 765,-543.2423702086362,0.6565047778859725
Triumph,Scrambler 1200,-537.5468864767821,0.24135624034405245
BMW,F 750 GS,-536.0946885867852,0.7319583679633932
KTM,890 SMT,-509.07327586206713,0.20371248326867242
Lexmoto,Aura 125,-508.99999999999955,1.0
Indian,FTR1200,-506.5931232091692,0.5499705987805255
SYM,Joymax Z 300,-500.00000000000006,1.0
Honda,X-ADV,-499.8975206611567,0.7780151316326771
BMW,R 18 Transcontinental,-499.6666666666659,0.13676050003073592
Keeway,X-Light 125,-497.99999999999915,0.9999516160247726
Aprilia,Tuono 660,-494.15384615384596,0.3073780456757851
Kawasaki,Z900 RS,-487.8291798590541,0.6847368639298443
Yamaha,Tracer 7 GT,-484.3565488565484,0.610676255570491
Triumph,Bobber,-478.07551530293557,0.21984172019214387
KTM,890 Duke,-477.64861111111094,0.22039619704364632
Suzuki,V-Strom 1050,-476.5981264637003,0.49943720016200466
Honda,ADV 350,-465.8396226415096,0.640888151494872
